1,"(12.076234984633318, 0.5758555689912372, 0.12296460727042685)",7779.452363729477
1,"(8.088293377810572, 0.64813061519295, 0.0719612032285835)",25610.41949915886
1,"(7.073338059861612, 0.6465051904325677, 0.0582834633138962)",55759.09076857567
1,"(6.67800360832735, 0.6364892129097611, 0.05313788219818486)",100094.48963427544
1,"(6.248131313639291, 0.6550230746672366, 0.04937697872854285)",160295.8076813221
1,"(6.107376412891408, 0.6367100676804579, 0.047255695895564144)",237999.43734288216
1,"(5.937741751995148, 0.6409969111565783, 0.04532261839630197)",334911.78090262413
1,"(5.748138444346698, 0.638090530692916, 0.043660292445722185)",452867.49833369255
2,"(8.546964164051618, 0.5163756253934126, 0.0803101628698044)",1816119.1863086224
2,"(7.053149944164903, 0.5668019400288523, 0.058784907735188976)",1831262.980864048
2,"(6.453663326031913, 0.5831404505794564, 0.051618243442924996)",1857157.016131401
2,"(6.156228464821342, 0.5815134749178562, 0.048130198021939206)",1895816.6019599438
2,"(5.9384429777262415, 0.5837789165660199, 0.045692312861935855)",1949309.450664997
2,"(5.8037810646229815, 0.5781635547086347, 0.044037711759786366)",2019728.5533082485
2,"(5.66685919204563, 0.579929948587152, 0.042669356856311215)",2109112.4711437225
2,"(5.592813157590872, 0.5716370432414953, 0.041810992946249986)",2219459.7159290314
3,"(8.289269975852479, 0.45762863538230975, 0.07779672300170466)",3514846.8477323055
3,"(6.989343630067916, 0.4956955412615818, 0.05744838598207537)",3529937.7800457478
3,"(6.429698576821903, 0.5162100646341864, 0.05076004043271073)",3555772.1322669983
3,"(6.138452182212363, 0.5219562242503412, 0.04758375869276725)",3594513.199377537
3,"(5.947865927694218, 0.5293448586023093, 0.04532061342877837)",3648503.095414877
3,"(5.831220236282746, 0.5254562608719957, 0.04386947819156909)",3720320.890606165
3,"(5.737627748457425, 0.5308050815142922, 0.042580810576077176)",3811685.2167224884
3,"(5.661213934335568, 0.5275445669644763, 0.0417683832903314)",3927930.2842485905
4,"(8.28808187747999, 0.4127050282041591, 0.07795604907987214)",5289421.229613304
4,"(6.998843580481084, 0.4515476312290335, 0.057194416463196535)",5304493.63386941
4,"(6.486633369558383, 0.4740712552168228, 0.05059230957925485)",5330314.989940405
4,"(6.221484067238198, 0.48299357569731527, 0.047466192186592975)",5368911.110707045
4,"(6.028264370925363, 0.49308289852521137, 0.04534066476475071)",5422315.993304014
4,"(5.901433526113932, 0.49791189927091534, 0.04389827194213735)",5492647.382828474
4,"(5.813686122934495, 0.4964351205761393, 0.04276095864378618)",5581936.516037941
4,"(5.756245914712328, 0.49366526310552733, 0.041907563238706105)",5693976.671684265
5,"(8.312424153582207, 0.38264045997186014, 0.07794303240346073)",7003293.805507183
